"sucursal_id","asesor_id","codigo_prestamo","dias_mora","producto","departamento"
"10","269","179240005","2","Maquinaria y Equipos","Jinotega"
"5","238","01101385","2","Granos Básicos","Jinotega"
"10","269","187900005","2","Granos Básicos","Jinotega"
"4","273","213960002","37","Granos Básicos","Estelí"
"4","273","207150005","37","Granos Básicos","Estelí"
"4","273","212130004","37","Granos Básicos","Estelí"
"4","273","181450005","69","Granos Básicos","Estelí"
"1","106","01109662","7","Credi - Vivienda","Jinotega"
"13","221","199920003","4","Pequeño Comercio","Madriz"
"13","291","201200006","70","Granos Básicos","Madriz"
"13","250","233880003","70","Granos Básicos","Madriz"
"10","278","219890002","8","Granos Básicos","Nueva Segovia"
"10","278","219890003","39","Maquinaria y Equipos","Nueva Segovia"
"4","273","212630003","70","Granos Básicos","Estelí"
"1","251","220750002","37","Granos Básicos","Jinotega"
"1","251","226900002","37","Granos Básicos","Jinotega"
"1","89","211800002","37","Granos Básicos","Jinotega"
"1","89","182680006","7","Hortalizas","Matagalpa"
"1","89","182680007","7","Granos Básicos","Matagalpa"
"1","89","182680008","7","Maquinaria y Equipos","Matagalpa"
"5","312","05613807","7","Granos Básicos","Jinotega"
"1","251","211360003","37","Granos Básicos","Jinotega"
"13","221","235470002","69","Maquinaria y Equipos","Madriz"
"1","89","010279511","7","Hortalizas","Jinotega"
"1","106","174400009","2","Pequeño Comercio","Jinotega"
"5","238","05007805","2","Granos Básicos","Jinotega"
"10","278","207370003","4","Granos Básicos","Nueva Segovia"
"1","167","011004011","36","Hortalizas","Jinotega"
"1","320","01024788","46","Granos Básicos","Jinotega"
"1","320","01106415","46","Granos Básicos","Jinotega"
"1","251","01106692","123","Pequeño Comercio","Jinotega"
"3","120","194270005","67","Granos Básicos","Jinotega"
"1","89","236590001","7","Hortalizas","Matagalpa"
"1","320","01100948","46","Granos Básicos","Jinotega"
"1","320","030004219","46","Granos Básicos","Jinotega"
"1","320","180140007","46","Granos Básicos","Jinotega"
"9","299","06007885","0","Pequeño Comercio","Jinotega"
"1","251","199640003","37","Granos Básicos","Jinotega"
"1","251","201680005","37","Mantenimiento de Café","Jinotega"
"5","312","236450001","7","Granos Básicos","Jinotega"
"13","221","212840004","2","Maquinaria y Equipos","Madriz"
"9","266","06009096","2","Granos Básicos","Jinotega"
"3","257","040091815","37","Granos Básicos","Jinotega"
"1","251","05007889","7","Hortalizas","Jinotega"
"9","283","233660003","0","Granos Básicos","Jinotega"
"10","296","15001794","20","Terrenos","Jinotega"
"5","238","195880005","0","Granos Básicos","Jinotega"
"1","320","237210001","46","Granos Básicos","Jinotega"
"1","320","01110924","46","Granos Básicos","Jinotega"
"2","310","211170002","2","Granos Básicos","Matagalpa"
"9","137","060151114","2","Granos Básicos","Jinotega"
"1","320","237180001","37","Hortalizas","Jinotega"
"9","266","222120002","2","Granos Básicos","Jinotega"
"1","320","232220002","16","Hortalizas","Jinotega"
"4","273","190790004","73","Granos Básicos","Estelí"
"4","273","184840005","0","Credi - Saneamiento","Estelí"
"1","89","01019977","11","Pequeño Comercio","Jinotega"
"3","271","04018168","45","Maquinaria y Equipos","Jinotega"
"3","271","04018169","76","Hortalizas","Jinotega"
"3","271","040181610","45","Granos Básicos","Jinotega"
"1","251","01101437","0","Granos Básicos","Jinotega"
"4","273","130003712","15","Hortalizas","Estelí"
"1","320","02002254","98","Pequeño Comercio","Jinotega"
"5","312","05613526","7","Granos Básicos","Jinotega"
"10","278","237890002","3","Hortalizas","Nueva Segovia"
"14","287","238300001","2","Granos Básicos","Nueva Segovia"
