"asociado_id","cantidad_entrega","anios_asociacion"
"4989","1.61","7"
"4991","13.33","7"
"4993","33.24","7"
"4996","12.09","7"
"5005","20.03","7"
"5008","22.56","7"
"5017","10.12","7"
"5028","51.09","7"
"5032","47.87","7"
"5033","129.35","7"
"5050","47.21","7"
"5053","60.5","7"
"5057","21.72","7"
"5063","25.45","7"
"5071","188.46","7"
"5074","44.01","7"
"5078","11.54","7"
"5079","103.07","7"
"5094","9.09","7"
"5095","1.96","7"
"5103","5.55","7"
"5111","165.78","7"
"5112","13.33","7"
"5115","95.19","7"
"5124","23.8","7"
"5137","38.8","7"
"5141","35.51","7"
"5144","2.06","7"
"5145","31.8","7"
"5146","0.95","7"
"5160","26.4","7"
"5161","85.5","7"
"5162","137.96","7"
"5171","2.01","0"
"5176","15.82","7"
"5177","12.88","7"
"5212","993.4","7"
"5221","56.17","7"
"5223","69.02","7"
"5261","8.71","7"
"5262","18.6","7"
"5286","55.24","0"
"5287","2.99","0"
"5296","8.94","0"
"5302","14.95","7"
"5303","50.36","7"
"5305","85.21","7"
"5307","21.86","3"
"5309","0.14","0"
"5312","15.52","7"
"5313","11.16","7"
"5324","2.59","7"
"5384","7.07","7"
"5416","25.11","6"
"5422","65.97","6"
"5427","43.97","1"
"5437","49.18","6"
"5464","6.82","6"
"5514","68.9","6"
"5518","7.12","2"
"5521","6.64","6"
"5547","52.89","1"
"5548","221.32","6"
"5576","213.15","6"
"5581","28.79","6"
"5602","8.11","6"
"5610","8.64","0"
"5612","6.49","5"
"5621","16.7","0"
"5623","39.18","6"
"5627","3.48","6"
"5636","19.58","0"
"5668","6.31","4"
"5694","180.91","6"
"5695","77.16","6"
"5746","31.18","6"
"5752","60.15","6"
"5755","21.48","6"
"5759","1.65","6"
"5766","10.17","6"
"5779","16.35","0"
"5791","6.21","6"
"5796","51.56","0"
"5804","4.61","0"
"5819","55.64","6"
"5827","4.44","6"
"5835","2","0"
"5840","26.72","6"
"5841","94.58","6"
"5844","509.73","3"
"5846","64.3","6"
"5848","15.9","6"
"5855","51.89","6"
"5877","46.65","6"
"5890","112.94","6"
"5891","81.34","6"
"5892","173.82","6"
"5894","46.83","6"
"5896","11.85","6"
"5899","3.1","6"
"5905","19.89","6"
"5907","51.51","6"
"5911","30.69","6"
"5914","29.52","6"
"5915","87.86","6"
"5917","8","6"
"5918","143.15","6"
"5923","27.35","6"
"5928","1.83","6"
"5930","56.81","6"
"5931","14.97","6"
"5933","102.69","6"
"5936","122.96","6"
"5937","2.33","6"
"5944","17.04","6"
"5953","56.66","6"
"5957","66.01","6"
"5958","95.46","6"
"5960","294.72","6"
"5968","6.71","6"
"5969","18.69","6"
"5971","25","6"
"5993","3.02","6"
"5995","10.93","6"
"5998","20.02","6"
"6000","45.66","6"
"6001","28.4","6"
"6003","94.08","6"
"6005","31.17","6"
"6007","29.98","6"
"6008","8.47","6"
"6012","83.9","6"
"6013","17.89","6"
"6015","51.94","6"
"6018","9.87","6"
"6027","5.03","6"
"6035","13.55","6"
"6036","38.76","6"
"6037","205.71","6"
"6038","11.4","6"
"6048","5.26","6"
"6050","1.32","6"
"6052","27.55","6"
"6056","20.44","6"
"6058","0.5","6"
"6060","7.92","6"
"6063","28.35","6"
"6070","54.42","6"
"6071","30.41","6"
"6072","37.73","6"
"6076","133.29","6"
"6080","49.99","6"
"6081","40.23","6"
"6082","6.05","6"
"6083","10.88","6"
"6085","35.44","6"
"6088","5.03","6"
"6091","5.9","6"
"6092","22.55","6"
"6093","11.23","6"
"6094","11.2","6"
"6104","176.93","6"
"6105","5.96","6"
"6107","21.73","6"
"6108","1.57","6"
"6112","2.35","6"
"6117","5.36","6"
"6118","19.11","6"
"6121","27.48","6"
"6124","15.3","6"
"6130","7.4","6"
"6136","59.72","6"
"6137","61.83","6"
"6138","44.04","6"
"6140","111.27","6"
"6145","6.28","6"
"6150","78.83","6"
"6151","7.88","6"
"6153","5.04","6"
"6154","7.36","6"
"6162","16.58","6"
"6169","23.43","6"
"6170","17","6"
"6180","23.02","6"
"6183","23.58","6"
"6184","23.13","6"
"6188","25.65","6"
"6189","101.42","6"
"6191","20.31","6"
"6192","44.82","6"
"6197","105.31","6"
"6202","6.49","6"
"6207","4.42","6"
